#   Interval Wave (nm)         ACL2       ACLNO2      ACH3O2H
          1     121.5    0.000E+00   0.00000E+00  0.000E+00
          2     116.7    0.000E+00   0.00000E+00  0.000E+00
          3     117.3    0.000E+00   0.00000E+00  0.000E+00
          4     117.9    0.000E+00   0.00000E+00  0.000E+00
          5     118.7    0.000E+00   0.00000E+00  0.000E+00
          6     119.4    0.000E+00   0.00000E+00  0.000E+00
          7     120.2    0.000E+00   0.00000E+00  0.000E+00
          8     120.8    0.000E+00   0.00000E+00  0.000E+00
          9     121.6    0.000E+00   0.00000E+00  0.000E+00
         10     122.3    0.000E+00   0.00000E+00  0.000E+00
         11     123.1    0.000E+00   0.00000E+00  0.000E+00
         12     123.8    0.000E+00   0.00000E+00  0.000E+00
         13     124.6    0.000E+00   0.00000E+00  0.000E+00
         14     125.4    0.000E+00   0.00000E+00  0.000E+00
         15     126.2    0.000E+00   0.00000E+00  0.000E+00
         16     127.0    0.000E+00   0.00000E+00  0.000E+00
         17     127.8    0.000E+00   0.00000E+00  0.000E+00
         18     128.6    0.000E+00   0.00000E+00  0.000E+00
         19     129.4    0.000E+00   0.00000E+00  0.000E+00
         20     130.3    0.000E+00   0.00000E+00  0.000E+00
         21     131.1    0.000E+00   0.00000E+00  0.000E+00
         22     132.0    0.000E+00   0.00000E+00  0.000E+00
         23     132.9    0.000E+00   0.00000E+00  0.000E+00
         24     133.8    0.000E+00   0.00000E+00  0.000E+00
         25     134.6    0.000E+00   0.00000E+00  0.000E+00
         26     135.6    0.000E+00   0.00000E+00  0.000E+00
         27     136.5    0.000E+00   0.00000E+00  0.000E+00
         28     137.4    0.000E+00   0.00000E+00  0.000E+00
         29     138.4    0.000E+00   0.00000E+00  0.000E+00
         30     139.9    0.000E+00   0.00000E+00  0.000E+00
         31     141.8    0.000E+00   0.00000E+00  0.000E+00
         32     143.9    0.000E+00   0.00000E+00  0.000E+00
         33     145.9    0.000E+00   0.00000E+00  0.000E+00
         34     148.1    0.000E+00   0.00000E+00  0.000E+00
         35     150.4    0.000E+00   0.00000E+00  0.000E+00
         36     152.6    0.000E+00   0.00000E+00  0.000E+00
         37     155.0    0.000E+00   0.00000E+00  0.000E+00
         38     157.4    0.000E+00   0.00000E+00  0.000E+00
         39     160.0    0.000E+00   0.00000E+00  0.000E+00
         40     162.6    0.000E+00   0.00000E+00  0.000E+00
         41     165.3    0.000E+00   0.00000E+00  0.000E+00
         42     168.1    0.000E+00   0.00000E+00  0.000E+00
         43     170.9    0.000E+00   0.00000E+00  0.000E+00
         44     173.1    0.000E+00   0.00000E+00  0.000E+00
         45     174.6    0.000E+00   0.00000E+00  0.000E+00
         46     176.2    0.000E+00   0.00000E+00  0.000E+00
         47     177.8    0.000E+00   0.00000E+00  0.000E+00
         48     179.4    0.000E+00   0.00000E+00  0.000E+00
         49     181.0    0.000E+00   0.00000E+00  0.000E+00
         50     182.7    0.000E+00   0.00000E+00  0.000E+00
         51     184.3    0.000E+00   0.00000E+00  0.000E+00
         52     186.1    0.000E+00   0.00000E+00  0.000E+00
